Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug8_1000nM,rep2,FOV1,6,3,7596,2684,2.0,0.0
Drug8_1000nM,rep2,FOV1,6,4,7383,2688,0.0,0.0
Drug8_1000nM,rep2,FOV1,6,5,7091,2469,0.0,17.0
Drug8_1000nM,rep2,FOV1,6,6,6806,2771,2.0,0.0
Drug8_1000nM,rep2,FOV1,6,7,7170,2635,1.0,1.0
Drug8_1000nM,rep2,FOV1,6,8,7284,2473,0.0,9.0
Drug8_1000nM,rep2,FOV1,6,9,8066,2798,0.0,7.0
Drug8_1000nM,rep2,FOV1,7,1,7852,2518,2.0,0.0
Drug8_1000nM,rep2,FOV1,7,2,7674,2739,0.0,0.0
Drug8_1000nM,rep2,FOV1,7,3,7639,2688,2.0,0.0
Drug8_1000nM,rep2,FOV1,7,4,7539,2687,0.0,7.0
Drug8_1000nM,rep2,FOV1,7,5,7030,2487,0.0,6.0
Drug8_1000nM,rep2,FOV1,7,6,6863,2724,2.0,0.0
Drug8_1000nM,rep2,FOV1,7,7,7165,2646,0.0,8.0
Drug8_1000nM,rep2,FOV1,7,8,7277,2461,0.0,13.0
Drug8_1000nM,rep2,FOV1,7,9,7972,2753,0.0,2.0
Drug8_1000nM,rep2,FOV1,8,1,7839,2516,2.0,0.0
Drug8_1000nM,rep2,FOV1,8,2,7572,2679,0.0,0.0
Drug8_1000nM,rep2,FOV1,8,3,7579,2708,1.0,1.0
Drug8_1000nM,rep2,FOV1,8,4,7676,2687,0.0,15.0
Drug8_1000nM,rep2,FOV1,8,5,6997,2488,0.0,6.0
Drug8_1000nM,rep2,FOV1,8,6,6857,4067,2.0,0.0
Drug8_1000nM,rep2,FOV1,8,7,7096,2660,0.0,8.0
Drug8_1000nM,rep2,FOV1,8,8,7274,2460,0.0,14.0
Drug8_1000nM,rep2,FOV1,8,9,7859,2772,0.0,1.0
Drug8_1000nM,rep2,FOV1,9,1,7859,6381,2.0,0.0
Drug8_1000nM,rep2,FOV1,9,2,7571,2729,0.0,0.0
Drug8_1000nM,rep2,FOV1,9,3,7560,2691,0.0,10.0
Drug8_1000nM,rep2,FOV1,9,4,7788,2744,1.0,0.0
Drug8_1000nM,rep2,FOV1,9,5,7000,2478,0.0,3.0
Drug8_1000nM,rep2,FOV1,9,6,7091,2668,0.0,3.0
Drug8_1000nM,rep2,FOV1,9,7,7287,2481,0.0,8.0
Drug8_1000nM,rep2,FOV1,9,8,7961,2800,0.0,1.0
Drug8_1000nM,rep2,FOV1,10,1,7873,3564,2.0,0.0
Drug8_1000nM,rep2,FOV1,10,2,7786,2712,0.0,0.0
Drug8_1000nM,rep2,FOV1,10,3,7555,2734,0.0,12.0
Drug8_1000nM,rep2,FOV1,10,4,7863,2774,2.0,0.0
Drug8_1000nM,rep2,FOV1,10,5,7068,2497,0.0,3.0
Drug8_1000nM,rep2,FOV1,10,6,7001,2653,0.0,0.0
Drug8_1000nM,rep2,FOV1,10,7,7240,2462,0.0,2.0
Drug8_1000nM,rep2,FOV1,10,8,7717,2815,0.0,0.0
Drug8_1000nM,rep2,FOV1,11,1,7864,2519,2.0,0.0
Drug8_1000nM,rep2,FOV1,11,2,7822,2724,0.0,2.0
Drug8_1000nM,rep2,FOV1,11,3,7540,2729,0.0,14.0
Drug8_1000nM,rep2,FOV1,11,4,7920,2891,2.0,0.0
Drug8_1000nM,rep2,FOV1,11,5,7041,2503,0.0,0.0
Drug8_1000nM,rep2,FOV1,11,6,6977,2704,0.0,0.0
Drug8_1000nM,rep2,FOV1,11,7,7337,2458,0.0,6.0
Drug8_1000nM,rep2,FOV1,11,8,7821,2751,0.0,0.0
Drug8_1000nM,rep2,FOV1,12,1,7795,2507,2.0,0.0
Drug8_1000nM,rep2,FOV1,12,2,7963,2740,0.0,12.0
Drug8_1000nM,rep2,FOV1,12,3,7593,2697,0.0,13.0
Drug8_1000nM,rep2,FOV1,12,4,7920,3591,2.0,0.0
Drug8_1000nM,rep2,FOV1,12,5,6910,2665,0.0,0.0
Drug8_1000nM,rep2,FOV1,12,6,7338,2496,0.0,14.0
Drug8_1000nM,rep2,FOV1,12,7,7730,2788,0.0,0.0
Drug8_1000nM,rep2,FOV1,13,1,7787,2443,1.0,1.0
Drug8_1000nM,rep2,FOV1,13,2,8073,2729,2.0,0.0
Drug8_1000nM,rep2,FOV1,13,3,7601,2684,0.0,10.0
Drug8_1000nM,rep2,FOV1,13,4,7954,3696,2.0,0.0
Drug8_1000nM,rep2,FOV1,13,5,6978,2636,0.0,0.0
Drug8_1000nM,rep2,FOV1,13,6,7413,2452,0.0,15.0
Drug8_1000nM,rep2,FOV1,13,7,7958,2790,0.0,0.0
Drug8_1000nM,rep2,FOV1,14,1,7754,2394,0.0,8.0
Drug8_1000nM,rep2,FOV1,14,2,8046,2718,2.0,0.0
Drug8_1000nM,rep2,FOV1,14,3,7673,2719,2.0,0.0
Drug8_1000nM,rep2,FOV1,14,4,7863,2772,2.0,0.0
Drug8_1000nM,rep2,FOV1,14,5,7045,2664,0.0,0.0
Drug8_1000nM,rep2,FOV1,14,6,7323,2452,0.0,12.0
Drug8_1000nM,rep2,FOV1,14,7,8127,2811,0.0,0.0
Drug8_1000nM,rep2,FOV1,15,1,8130,2716,2.0,0.0
Drug8_1000nM,rep2,FOV1,15,2,7722,2648,2.0,0.0
Drug8_1000nM,rep2,FOV1,15,3,7921,2833,2.0,0.0
Drug8_1000nM,rep2,FOV1,15,4,7105,2626,0.0,4.0
Drug8_1000nM,rep2,FOV1,15,5,7308,2463,0.0,10.0
Drug8_1000nM,rep2,FOV1,15,6,8070,2797,0.0,1.0
Drug8_1000nM,rep2,FOV2,0,1,8546,3101,0.0,11.0
Drug8_1000nM,rep2,FOV2,0,2,7578,2972,0.0,13.0
Drug8_1000nM,rep2,FOV2,0,3,7740,2712,0.0,0.0
Drug8_1000nM,rep2,FOV2,0,4,5237,2555,0.0,0.0
Drug8_1000nM,rep2,FOV2,0,5,7597,3086,0.0,12.0
Drug8_1000nM,rep2,FOV2,0,6,7755,2833,0.0,0.0
Drug8_1000nM,rep2,FOV2,0,7,7659,3086,0.0,9.0
Drug8_1000nM,rep2,FOV2,0,8,8027,2922,0.0,0.0
Drug8_1000nM,rep2,FOV2,0,9,7252,2853,0.0,0.0
Drug8_1000nM,rep2,FOV2,0,10,7670,5808,0.0,0.0
